Feature,Feature.1,Feature.2,Feature.3,Feature.4,Feature.5,Feature.6,Feature.7,Target,Target.1,Target.2,Target.3,Target.4,Target.5,Target.6,Target.7
-2.77E-06,1.09E-08,-5.81E-08,1.98E-08,-6.18E-08,1.65E-08,2.76E-06,-1.61E-08,-0.101634569,-0.080857303,-0.077979961,-0.101488366,-0.080477548,0.101431782,-0.119329578,0.108322373
-2.76E-06,1.49E-08,-5.79E-08,1.45E-08,-5.47E-08,1.78E-08,2.75E-06,-2.13E-08,-0.101402341,-0.080240783,-0.101461096,-0.108193459,-0.080207704,0.101023977,-0.08794984,0.137380877
-2.75E-06,1.51E-08,-5.38E-08,1.10E-08,-5.28E-08,1.41E-08,2.75E-06,-1.53E-08,-0.101205757,-0.080021606,-0.101753503,-0.08683421,-0.080062264,0.10114604,-0.068658524,0.102020726
-2.75E-06,1.23E-08,-4.31E-08,1.65E-08,-4.48E-08,1.53E-08,2.74E-06,-1.43E-08,-0.101329231,-0.079635518,-0.085722846,-0.093864846,-0.079439831,0.101207227,-0.100540284,0.097207854
-2.74E-06,1.46E-08,-3.95E-08,1.49E-08,-3.69E-08,1.73E-08,2.73E-06,-1.92E-08,-0.101193804,-0.079042099,-0.099055491,-0.105172252,-0.079018963,0.100896299,-0.090248341,0.125412329
-2.73E-06,1.59E-08,-3.66E-08,1.06E-08,-3.43E-08,1.47E-08,2.73E-06,-1.61E-08,-0.100973061,-0.078744474,-0.106383298,-0.089822453,-0.078844607,0.100871018,-0.066080179,0.106639132
-2.73E-06,1.36E-08,-2.76E-08,1.41E-08,-2.79E-08,1.43E-08,2.73E-06,-1.33E-08,-0.101027369,-0.078415916,-0.092859618,-0.087958915,-0.07835821,0.100966365,-0.086799916,0.091031661
-2.72E-06,1.43E-08,-2.17E-08,1.49E-08,-2.00E-08,1.63E-08,2.72E-06,-1.69E-08,-0.100954654,-0.077873759,-0.097395,-0.099202484,-0.077863457,0.100768924,-0.090694503,0.11232359
-2.71E-06,1.60E-08,-1.86E-08,1.12E-08,-1.64E-08,1.49E-08,2.71E-06,-1.62E-08,-0.100749957,-0.077516989,-0.107023431,-0.090662161,-0.07761428,0.100651145,-0.069172028,0.107206648
-2.71E-06,1.45E-08,-1.15E-08,1.27E-08,-1.09E-08,1.37E-08,2.71E-06,-1.30E-08,-0.100743103,-0.077204292,-0.097989278,-0.08409118,-0.077227018,0.100718048,-0.078765831,0.089030738
-2.70E-06,1.42E-08,-4.33E-09,1.47E-08,-3.47E-09,1.52E-08,2.70E-06,-1.51E-08,-0.100699149,-0.076718399,-0.096496519,-0.092644988,-0.076719672,0.100617109,-0.089711085,0.101552989
-2.69E-06,1.57E-08,-4.50E-10,1.21E-08,1.02E-09,1.47E-08,2.69E-06,-1.58E-08,-0.100529126,-0.076327581,-0.105224188,-0.089815079,-0.076387541,0.100458523,-0.074491676,0.105318886
-2.69E-06,1.50E-08,5.21E-09,1.22E-08,6.06E-09,1.34E-08,2.69E-06,-1.32E-08,-0.100479083,-0.076004367,-0.100777315,-0.081979838,-0.076056638,0.100467621,-0.075513093,0.089817685
-2.68E-06,1.42E-08,1.27E-08,1.43E-08,1.29E-08,1.42E-08,2.68E-06,-1.39E-08,-0.100437752,-0.07556551,-0.096196356,-0.086972217,-0.07557503,0.100431076,-0.087861915,0.094516095
-2.67E-06,1.53E-08,1.75E-08,1.30E-08,1.80E-08,1.44E-08,2.67E-06,-1.53E-08,-0.10030458,-0.075163286,-0.10241776,-0.087929536,-0.07517507,0.100269833,-0.079581765,0.102437013
-2.67E-06,1.52E-08,2.22E-08,1.22E-08,2.30E-08,1.32E-08,2.67E-06,-1.35E-08,-0.100230874,-0.074817841,-0.101567626,-0.081066713,-0.074864169,0.100217283,-0.075429994,0.09196927
-2.66E-06,1.42E-08,2.93E-08,1.40E-08,2.92E-08,1.35E-08,2.66E-06,-1.33E-08,-0.100176418,-0.074410849,-0.096265177,-0.082817219,-0.074424884,0.10021178,-0.085664863,0.091160982
-2.65E-06,1.48E-08,3.51E-08,1.36E-08,3.46E-08,1.40E-08,2.65E-06,-1.48E-08,-0.100072476,-0.074013313,-0.099643197,-0.085610989,-0.07398194,0.100069685,-0.08310404,0.099612075
